year,nighthour,dayhour
1979,587.02,1418.6
1980,624.15,1461.7
1981,588.85,1429.9
1982,591.11,1410.7
1983,615.64,1445.5
1984,596.85,1413.5
1985,606.75,1409.6
1986,600.74,1419.7
1987,631.29,1487.1
1988,629.25,1471.5
1989,609.64,1435.6
1990,618.24,1450.5
1991,607.27,1450.7
1992,598.58,1433.7
1993,589.1,1426.4
1994,640.39,1493.4
1995,631.19,1496.7
1996,620.5,1451.9
1997,593.27,1475.1
1998,638.09,1505.2
1999,619.11,1483.6
2000,594.67,1457.3
2001,611.24,1492.3
2002,665.75,1558.1
2003,654.57,1544.3
2004,637.43,1525.6
2005,683.78,1583.4
2006,654.72,1559.5
2007,681,1585.1
2008,667.41,1564.7
2009,668.04,1577.5
2010,652.12,1561.9
2011,634.57,1546.8
2012,697.06,1622
2013,683.06,1574.9
2014,667.8,1577.8
2015,701.58,1627.4
2016,688.92,1616.6
2017,698.53,1611.2
2018,691.8,1599.9
2019,721,1628.3
